artist, title, info, tags
Jim Hall, Concierto ,,[75; CTI]
Scott Hamilton, Plays Ballads ,,[89; Concord]
Lionel Hampton, Lionel Hampton 1937-1938 ,,[Classics]
Herbie Hancock, Maiden Voyage ,,[65; Blue Note]				
Herbie Hancock, Head Hunters ,,[73; Columbia]
Tom Harrell, Labyrinth ,,[96; RCA Victor]
Barry Harris, Magnificent! ,,[69; OJC]
Steve Harris & Zaum, Above Our Heads the Sky Splits Open ,,[04; Slam]				
Coleman Hawkins, Body and Soul ,,[39-49; Dreyfus]
Coleman Hawkins, The Stanley Dance Sessions ,,[55-58; Lonehill Jazz]
Julius Hemphill, Flat-Out Jump Suite ,,[80; Black Saint]
Joe Henderson, The State of the Tenor Volumes One and Two ,,[85; Blue Note; 2CD]
Woody Herman, Blowin' Up a Storm ,,[45-47; Columbia; 2CD]
Woody Herman, Jazz Hoot/Woody's Winners ,,[65-67; Collectables]				
Andrew Hill, Point of Departure ,,[64; Blue Note]
Andrew Hill, Andrew!!! ,,[64; Blue Note]
Earl Hines, Earl Hines Plays Duke Ellington ,,[71-75; New World; 2CD]
Earl Hines, Earl Hines Plays Duke Ellington Vol. 2 ,,[71-74; New World]
Billie Holiday, Lady Day Swings! ,,[35-39; Columbia]
Dave Holland, Conference of the Birds ,,[72; ECM]
Noah Howard, The Black Ark ,,[69; Bo'Weavil] 
Freddie Hubbard, Open Sesame ,,[60; Blue Note]
Dick Hyman, Forgotten Dreams ,,[01; Arbors]
Abdullah Ibrahim, Yarona ,,[95; Tiptoe]
Ahmad Jamal, Cross Country Tour, 1958-1961 ,,[Chess]
Ahmad Jamal, At the Pershing ,,[58; Chess] 
Keith Jarrett, The Köln Concert ,,[75; ECM; 2CD]
Bunk Johnson, Bunk's Brass Band and Dance Band 1945 ,,[American Music]
J.J. Johnson, The Eminent Jay Jay Johnson, Volume 1 ,,[53-55; Blue Note]
J.J. Johnson, The Eminent Jay Jay Johnson, Volume 2 ,,[53-55; Blue Note]
Thad Jones, Consummation ,,[70; Blue Note]
Louis Jordan, Louis Jordan & His Tympany Five ,,[38-50; JSP] 
Sheila Jordan, Portrait of Sheila ,,[62; Blue Note]
Stan Kenton, City of Glass ,,[47-53; Capitol]
Rahsaan Roland Kirk, Rip, Rig and Panic/Now Please Don't You Cry, Beautiful Edith ,,[65-67; Emarcy]
Rahssan Roland Kirk, A Meeting of the Times ,,[72; Atlantic]				
Krzysztof Komeda, Astigmatic ,,[65; Harkit]				
Lee Konitz, With Warne Marsh ,,[55; Warner Bros] 
Lee Konitz, Motion ,,[61; Verve]
Peter Kowald, Was Da Ist ,,[94; FMP]				
Steve Lacy, 5 x Monk x Lacy ,,[94; Silkheart]
George Lewis, Jazz in the Classic New Orleans Tradition ,,[51-53; OJC]
George Lewis, Jazz Funeral in New Orleans ,,[55; Tradition] 
George E Lewis, Homage to Charles Parker ,,[79; Black Saint]				
Meade Lux Lewis, Meade Lux Lewis 1927-1939 ,,[Classics]
David Liebman, Drum Ode ,,[74; ECM] 
Booker Little, Booker Little and Friend ,,[61; Bethlehem/Avenue Jazz]
London Jazz Composers Orchestra, Ode ,,[72; Intakt; 2CD] 
Joe Lovano, From the Soul ,,[91; Blue Note]				
Humphrey Lyttelton, The Parlophones Volumes One-Four ,,[49-59; Calligraph; 4CD]
Shelly Manne, At the Black Hawk ,,[59; OJC; 5CD]
René Marie, Vertigo ,,[01; MaxJazz]				
Wynton Marsalis, Black Codes (From the Underground) ,,[85; Columbia]
Wynton Marsalis, J Mood ,,[85; Columbia]
Ron McClure, Soft Hands ,,[06; Steeplechase] 
John McLaughlin, Extrapolation ,,[69; Polydor]				
Jackie McLean, Let Freedom Ring ,,[62; Blue Note]
Mary McPartland, In My Life ,,[93; Concord]
Brad Mehldau, The Art of the Trio Vol. 1 ,,[96; Warners]
Helen Merrill, Helen Merrill With Clifford Brown and Gil Evans ,,[54-56; Emarcy]
Charles Mingus, Pithecanthropus Erectus ,,[56; Atlantic]
Charles Mingus, Mingus Ah Um ,,[59; Columbia]				
Charles Mingus, Charles Mingus Presents Charles Mingus ,,[60; Candid]
Charles Mingus, The Black Saint & the Sinner Lady ,,[63; Impulse]				
Roscoe Mitchell, Sound ,,[66; Delmark]
Roscoe Mitchell, Composition/Improvisation Nos. 1 2 & 3 ,,[04; ECM] 
Modern Jazz Quartet, The Complete Last Concert ,,[74; Atlantic]
Miff Mole, Slippin' Around ,,[27-30; Frog]
Thelonious Monk, The Complete Blue Note Recordings ,,[47-58; Blue Note; 4CD]
Thelonious Monk, Brilliant Corners ,,[56; OJC]
Thelonious Monk, With John Coltrane at Carnegie Hall ,,[57; Blue Note]				
Thelonious Monk, The Complete Riverside Recordings ,,[55-61; Riverside; 15CD]				
Wes Montgomery, Incredible Jazz Guitar ,,[60; OJC]
Lee Morgan, The Sidewinder ,,[63; Blue Note]
Jelly Roll Morton, Jelly Roll Morton Vols. 1-5 ,,[26-30; JSP; 5CD]				
Bennie Moten, Band Box Shuffle 1929-1932 ,,[Hep; 2CD]
Paul Motian, Sound of Love ,,[95; Winter & Winter]
Gerry Mulligan, The Original Quartet ,,[52-53; Blue Note; 2CD]
David Murray, Ming ,,[80; Black Saint]
David Murray, Home ,,[81; Black Saint] 
Fats Navarro, The Complete Fats Navarro on Blue Note and Capitol ,,[47-49; Blue Note; 2CD]
New Orleans Rhythm Kings, The Complete Set ,,[22-25; Retrieval; 2CD]				
King Oliver, King Oliver's Creole Jazz Band - The Complete Set ,,[23-24; Retrieval; 2CD]
Original Dixieland Jazz Band, The Original Dixieland Jazz Band 1927-1921 ,,[Timeless]
Greg Osby, Banned in New York ,,[98; Blue Note]
Charlie Parker, The Complete Savoy and Dial Studio Recordings ,,[44-48; Savoy; 8CD]				
Charlie Parker, Charlie Parker on Dial The Complete Sessions ,,[46-47; Spotlite/Dial; 4CD]
Charlie Parker, Charlie Parker ,,[47-53; Verve]
Charlie Parker, The Quintet - Jazz at Massey Hall ,,[53; OJC]
Evan Parker, The Snake Decides ,,[86; Psi]
Evan Parker, 50th Birthday Concert ,,[94; Leo; 2CD]				
Joe Pass, Virtuoso ,,[73; Pablo]
Mario Pavone, Deez to Blues ,,[05; Playscape] 
Art Pepper, Meets the Rhythm Section ,,[57; OJC]
Oscar Peterson, Night Train ,,[62; Verve]
Oscar Peterson, Girl Talk/Action/The Way I Really Play/Mellow Mood/Travelin' On/My Favorite Instrument ,,[63-68; MPS; 6CD]
Michel Petrucciani, Solo Live ,,[97; Dreyfus]
Michel Petrucciani, The Complete Concert in Germany ,,[97; Dreyfus] 
Oscar Pettiford, Nonet & Octet 1954-55 ,,[54-55; Fresh Sound] 
Oscar Pettiford, Complete Big Band Studio Recordings ,,[56-57; Lone Hill] 
Bud Powell, The Amazing Bud Powell Volume 1 ,,[49-51; Blue Note]
Bud Powell, The Amazing Bud Powell Volume 2 ,,[51-53; Blue Note]
Django Reinhardt, The Classic Early Recordings in Chronological Order ,,[34-39; JSP; 5CD]
Max Roach, Alone Together ,,[56-60; Verve; 2CD]
Max Roach, We Insist! Freedom Now Suite ,,[60; Candid]
Shorty Rogers, The Sweetheart of Sigmund Freud ,,[46-53; Giant Steps; 2CD]
Sonny Rollins, Saxophone Colossus ,,[56; OJC]
Sonny Rollins, A Night at the Village Vanguard ,,[57; Blue Note; 2CD]
Sonny Rollins, This Is What I Do ,,[00; Milestone]
ROVA, Bingo ,,[96; Victo]
ROVA, Electric Ascension ,,[03; Atavistic]				
Jimmy Rushing, Rushing Lullabies ,,[58-59; Columbia]
George Russell, Jazz Workshop ,,[56; Koch]
Alexander von Schlippenbach, Pakistani Pomade ,,[1972; Atavistic]				
Alexander von Schlippenbach, Swinging the Bim ,,[98; FMP; 2CD]
